Price	Food	Decor	Service	Wait	East
43	22	18	20	36	0
32	20	19	19	22	0
34	21	13	18	20	0
41	20	20	17	25	0
54	24	19	21	32	0
52	22	22	21	15	0
34	22	16	21	25	0
34	20	18	21	21	1
39	22	19	22	23	1
44	21	17	19	27	1
45	19	17	20	39	1
47	21	19	21	33	1
52	21	19	20	19	1
35	19	17	19	25	1
47	20	18	21	24	1
37	21	19	21	22	1
45	22	18	23	16	1
57	24	21	22	19	1
38	19	17	18	9	1
51	22	20	22	26	1
54	23	20	23	15	1
51	23	17	21	14	1
38	20	18	18	24	1
49	22	21	21	12	1
45	22	20	22	28	1
37	19	17	19	32	1
50	22	19	22	13	1
43	20	16	18	14	1
49	22	19	20	26	1
65	21	20	20	15	1
34	20	16	18	10	1
51	21	20	18	21	1
49	20	19	19	19	1
51	23	22	23	23	1
62	25	22	23	27	1
50	23	21	21	46	1
51	21	18	20	46	1
52	22	19	22	31	1
57	24	20	23	22	1
49	21	20	21	25	1
33	19	17	18	13	1
43	19	17	17	12	1
41	21	17	18	26	1
58	24	21	23	16	1
56	22	17	21	22	1
44	22	17	21	28	1
37	20	15	20	27	1
56	21	17	20	23	1
58	24	18	21	15	1
44	16	16	16	26	1
46	20	18	20	12	1
40	20	20	20	23	1
39	19	18	17	32	1
36	17	14	17	33	1
34	18	15	16	25	1
54	18	16	15	21	1
51	23	17	20	28	1
41	20	14	19	8	1
40	22	17	20	17	1
24	18	13	18	14	1
53	24	20	21	22	1
31	19	16	17	6	1
35	18	16	17	18	1
49	20	19	19	32	1
38	19	15	17	29	1
48	21	16	18	27	1
43	20	19	20	16	1
29	17	14	15	1	1
37	17	18	15	25	1
55	22	21	20	17	1
37	22	18	20	29	1
55	23	20	22	36	1
49	24	20	22	31	1
33	19	14	18	30	1
52	23	20	22	20	1
47	22	16	21	17	1
43	21	16	20	20	1
33	18	17	18	40	1
38	18	16	19	29	1
48	21	18	19	30	1
50	21	18	21	31	1
46	23	19	21	26	1
38	23	19	24	31	1
33	20	16	19	22	1
46	23	19	23	14	1
37	19	15	19	31	1
50	23	18	20	13	1
54	25	24	24	17	1
41	21	19	21	24	1
37	21	15	18	16	1
50	22	18	21	17	1
60	24	22	23	37	1
36	23	16	22	24	1
54	23	19	21	21	1
39	19	18	18	14	1
35	20	16	18	27	1
30	19	13	20	10	1
41	19	17	19	27	1
30	19	14	17	19	1
25	18	15	15	30	1
43	19	18	21	6	1
45	20	15	17	38	1
57	23	16	20	35	1
32	18	15	17	30	0
51	24	21	21	21	1
48	23	20	21	30	1
36	18	16	16	18	1
37	20	17	19	34	0
31	20	19	19	27	1
47	23	19	21	16	1
40	19	16	19	29	1
37	18	16	18	29	1
43	23	20	21	36	1
51	23	22	21	26	1
19	18	9	15	33	1
28	17	14	17	19	0
22	21	6	14	25	0
41	19	17	19	24	0
33	19	15	18	17	0
29	19	15	17	20	0
33	19	17	18	13	0
45	19	16	18	35	0
38	17	16	17	22	0
52	20	23	20	16	0
38	20	17	19	16	0
47	18	18	17	28	0
46	22	18	20	26	0
40	20	17	18	38	0
32	20	15	19	24	0
65	19	23	18	11	0
47	19	21	17	26	0
65	23	22	22	24	0
45	20	17	21	21	0
46	22	22	20	16	0
44	20	19	20	25	0
40	19	19	18	13	0
46	19	18	20	25	0
32	19	15	17	20	0
23	20	14	16	0	0
42	18	21	17	11	0
29	21	18	19	18	0
49	21	18	20	29	0
53	22	24	21	34	0
45	22	19	21	22	0
63	22	25	22	20	0
52	23	23	21	23	0
40	19	20	17	23	0
45	22	21	23	13	0
38	21	17	20	14	0
38	18	17	18	25	0
42	21	16	20	23	0
57	23	19	23	30	0
39	21	19	20	20	0
43	20	18	18	11	0
29	17	14	16	31	0
42	20	16	19	22	0
50	22	19	21	40	0
34	18	16	17	7	0
31	16	15	16	16	0
31	20	17	19	23	0
46	21	19	22	28	0
42	21	15	19	33	0
31	19	16	18	25	0
31	17	15	16	33	0
26	20	16	17	16	0
31	18	16	17	26	0
38	22	17	21	30	0
34	24	10	16	4	0
